epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1414,1.26007,2.29368,1.25497,0.51199,0.39325,0.39472,0.25202,1.24885,1.54685,1.23315,0.000255026,0.000255026,0.000255026
1,74.8662,1.26007,2.29368,1.25497,0.51199,0.39325,0.39472,0.25202,1.24885,1.54685,1.23315,0.000255026,0.000255026,0.000255026
1,69.229,1.26007,2.29368,1.25497,0.51199,0.39325,0.39472,0.25202,1.24885,1.54685,1.23315,0.000255026,0.000255026,0.000255026
2,135.103,1.33817,1.67655,1.31422,0.50858,0.38225,0.38121,0.23291,1.31411,1.51729,1.2845,0.000501234,0.000501234,0.000501234
3,200.99,1.37417,1.67197,1.35654,0.50427,0.34633,0.36211,0.20866,1.40679,1.57838,1.37086,0.000737292,0.000737292,0.000737292
4,265.514,1.4012,1.65019,1.36469,0.46212,0.35077,0.34649,0.20892,1.41499,1.51372,1.34307,0.000723321,0.000723321,0.000723321
5,330.213,1.38738,1.56772,1.35598,0.49137,0.3925,0.38965,0.22956,1.35702,1.42741,1.31099,0.000708095,0.000708095,0.000708095
6,395.431,1.37953,1.52898,1.35338,0.52662,0.41011,0.41902,0.25071,1.35093,1.3883,1.31857,0.000692869,0.000692869,0.000692869
7,459.85,1.36022,1.4853,1.34459,0.54091,0.41339,0.4386,0.26657,1.31625,1.31529,1.29059,0.000677643,0.000677643,0.000677643
8,524.138,1.34077,1.43153,1.33073,0.57146,0.43467,0.4653,0.29307,1.31681,1.29811,1.28859,0.000662417,0.000662417,0.000662417
9,588.324,1.33493,1.41262,1.32845,0.52582,0.38556,0.41698,0.24694,1.33032,1.34311,1.29983,0.00064719,0.00064719,0.00064719
10,652.472,1.31534,1.38809,1.31869,0.58291,0.43934,0.47792,0.28867,1.26879,1.24829,1.2588,0.000631964,0.000631964,0.000631964
11,717.626,1.3069,1.3471,1.30868,0.59375,0.4654,0.50729,0.32045,1.25838,1.19385,1.24715,0.000616738,0.000616738,0.000616738
12,783.668,1.286,1.32665,1.29826,0.63664,0.47274,0.52487,0.33305,1.23237,1.16376,1.23478,0.000601512,0.000601512,0.000601512
13,847.463,1.28787,1.30425,1.28998,0.60987,0.49688,0.54006,0.3505,1.21843,1.1236,1.21244,0.000586286,0.000586286,0.000586286
14,913.438,1.27345,1.28432,1.28356,0.59695,0.49637,0.53223,0.34054,1.23215,1.13227,1.22798,0.000571059,0.000571059,0.000571059
15,978.063,1.25861,1.26674,1.27719,0.65012,0.47449,0.5405,0.35288,1.19623,1.13828,1.20916,0.000555833,0.000555833,0.000555833
16,1042.97,1.24596,1.25797,1.27008,0.66027,0.49868,0.56288,0.36661,1.18261,1.10849,1.20157,0.000540607,0.000540607,0.000540607
17,1108.3,1.23571,1.23349,1.26704,0.64997,0.5265,0.57266,0.38145,1.15978,1.0574,1.18412,0.000525381,0.000525381,0.000525381
18,1174.59,1.22455,1.21043,1.25809,0.6786,0.51746,0.58392,0.39291,1.15558,1.03548,1.1759,0.000510155,0.000510155,0.000510155
19,1240.97,1.21643,1.19347,1.25341,0.68225,0.5008,0.58774,0.39233,1.15794,1.03629,1.17661,0.000494928,0.000494928,0.000494928
20,1307.71,1.22772,1.17804,1.24948,0.67506,0.51579,0.58588,0.38355,1.16738,1.04539,1.17976,0.000479702,0.000479702,0.000479702
21,1371.47,1.20063,1.17015,1.2416,0.6981,0.55331,0.62539,0.42345,1.14043,0.98919,1.16688,0.000464476,0.000464476,0.000464476
22,1435.45,1.19375,1.15266,1.24081,0.68862,0.56619,0.62879,0.4267,1.12125,0.9703,1.14893,0.00044925,0.00044925,0.00044925
23,1500.42,1.20049,1.14928,1.23647,0.73516,0.55493,0.63167,0.43369,1.12325,0.96163,1.15045,0.000434024,0.000434024,0.000434024
24,1563.94,1.16709,1.11807,1.22547,0.71148,0.58418,0.65482,0.4564,1.09666,0.93312,1.1345,0.000418797,0.000418797,0.000418797
25,1627.54,1.17544,1.1117,1.22134,0.74673,0.55952,0.65521,0.45015,1.09745,0.9465,1.13836,0.000403571,0.000403571,0.000403571
