epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6207,1.21856,2.15023,1.33629,0.67411,0.54147,0.60352,0.42209,1.15243,1.31209,1.25798,0.00019561,0.00019561,0.00019561
2,172.093,1.24514,1.52659,1.3189,0.66708,0.55925,0.60907,0.41437,1.16424,1.21938,1.23785,0.000383856,0.000383856,0.000383856
3,255.497,1.26862,1.43695,1.31325,0.71264,0.55211,0.63053,0.41789,1.19108,1.18048,1.24807,0.00056434,0.00056434,0.00056434
4,339.382,1.2893,1.43783,1.33193,0.68533,0.55143,0.62903,0.42004,1.20237,1.1652,1.24894,0.000553073,0.000553073,0.000553073
5,421.717,1.28074,1.39632,1.31483,0.74617,0.56023,0.65369,0.43251,1.20563,1.14425,1.25447,0.00054143,0.00054143,0.00054143
6,504.34,1.27056,1.33598,1.31639,0.69351,0.57442,0.64268,0.42739,1.22378,1.13971,1.25252,0.000529788,0.000529788,0.000529788
7,588.838,1.26782,1.32004,1.30763,0.69382,0.58159,0.6441,0.43878,1.20913,1.11585,1.23961,0.000518146,0.000518146,0.000518146
8,674.553,1.25904,1.30484,1.30385,0.68015,0.57466,0.62452,0.41457,1.19212,1.10727,1.23587,0.000506503,0.000506503,0.000506503
9,757.809,1.2649,1.27168,1.30056,0.71284,0.57882,0.65689,0.44915,1.17209,1.05623,1.22424,0.000494861,0.000494861,0.000494861
10,840.778,1.25081,1.25442,1.287,0.7015,0.58853,0.64142,0.4324,1.17508,1.06618,1.22802,0.000483218,0.000483218,0.000483218
11,922.849,1.23909,1.23481,1.2899,0.73359,0.61248,0.69071,0.47285,1.17662,1.02303,1.22321,0.000471576,0.000471576,0.000471576
12,1005.57,1.23392,1.21416,1.27484,0.75154,0.61296,0.68619,0.47778,1.14246,1.00706,1.20022,0.000459934,0.000459934,0.000459934
13,1088.07,1.21948,1.20646,1.28307,0.76565,0.6021,0.69319,0.47964,1.14206,1.00558,1.20298,0.000448291,0.000448291,0.000448291
14,1171.84,1.22378,1.2216,1.27649,0.75799,0.60256,0.69742,0.48014,1.14629,0.99457,1.19882,0.000436649,0.000436649,0.000436649
15,1253.56,1.2028,1.17097,1.27624,0.7423,0.62863,0.70209,0.48655,1.14107,0.96932,1.20214,0.000425006,0.000425006,0.000425006
16,1335.36,1.2114,1.16391,1.26092,0.75015,0.61813,0.70333,0.48568,1.12611,0.96476,1.18672,0.000413364,0.000413364,0.000413364
17,1418.06,1.19389,1.14325,1.25923,0.75499,0.64213,0.71502,0.49875,1.12158,0.94847,1.18155,0.000401722,0.000401722,0.000401722
18,1500.35,1.20483,1.15387,1.26471,0.80385,0.61838,0.72177,0.5057,1.12701,0.9684,1.18482,0.000390079,0.000390079,0.000390079
19,1582.48,1.20521,1.14326,1.26214,0.77387,0.64912,0.73018,0.50779,1.11375,0.95317,1.17918,0.000378437,0.000378437,0.000378437
20,1664.71,1.18466,1.11708,1.24543,0.79689,0.63174,0.72984,0.50925,1.10969,0.93903,1.175,0.000366794,0.000366794,0.000366794
21,1747.1,1.18363,1.10795,1.24903,0.7879,0.65634,0.7384,0.52248,1.08978,0.9174,1.16338,0.000355152,0.000355152,0.000355152
22,1829.56,1.18368,1.11356,1.2441,0.78128,0.64763,0.73678,0.51905,1.09794,0.90362,1.17084,0.00034351,0.00034351,0.00034351
23,1912,1.16609,1.07406,1.239,0.81256,0.65378,0.74659,0.5266,1.08111,0.89982,1.15577,0.000331867,0.000331867,0.000331867
24,1994.92,1.16251,1.06254,1.2299,0.80165,0.65997,0.74395,0.52658,1.07348,0.87664,1.15094,0.000320225,0.000320225,0.000320225
25,2077.59,1.16317,1.06744,1.23375,0.80508,0.66524,0.75328,0.53972,1.06459,0.86754,1.14257,0.000308582,0.000308582,0.000308582
26,2160.82,1.15991,1.04632,1.22597,0.7979,0.66505,0.75313,0.53796,1.06435,0.86482,1.1434,0.00029694,0.00029694,0.00029694
27,2243.11,1.14537,1.04944,1.221,0.82617,0.66391,0.76517,0.55367,1.0523,0.85198,1.13545,0.000285298,0.000285298,0.000285298
28,2325.49,1.15572,1.04242,1.22402,0.8389,0.66899,0.76775,0.55418,1.05941,0.84765,1.13891,0.000273655,0.000273655,0.000273655
29,2409.57,1.1371,1.01882,1.21334,0.83296,0.67034,0.76967,0.55791,1.04002,0.83314,1.12819,0.000262013,0.000262013,0.000262013
30,2491.94,1.13624,1.0298,1.21764,0.81441,0.67,0.76279,0.55046,1.03939,0.8257,1.12517,0.00025037,0.00025037,0.00025037
31,2574.37,1.13043,1.01627,1.21594,0.82922,0.6904,0.78034,0.56556,1.03191,0.81612,1.11902,0.000238728,0.000238728,0.000238728
32,2656.71,1.11843,0.99295,1.20502,0.83213,0.69643,0.78544,0.57494,1.02586,0.8059,1.11609,0.000227086,0.000227086,0.000227086
33,2739.08,1.11945,0.99587,1.20419,0.82569,0.70181,0.78457,0.5715,1.01847,0.81025,1.11118,0.000215443,0.000215443,0.000215443
